match_id,date,home_team,away_team,home_goals,away_goals,status,round
1210750,2024-12-01T15:00:00-06:00,CS Herediano,Santos DE Guapiles,0,2,FT,Apertura - 22
1210752,2024-12-01T15:00:00-06:00,Deportivo Saprissa,Santa Ana,2,1,FT,Apertura - 22
1210751,2024-12-01T15:00:00-06:00,Puntarenas FC,San Carlos,0,1,FT,Apertura - 22
1210753,2024-12-01T15:00:00-06:00,Sporting San Jose,CS Cartagines,6,2,FT,Apertura - 22
1318708,2024-12-06T19:30:00-06:00,San Carlos,Deportivo Saprissa,2,2,FT,Apertura - Semi-finals
1318710,2024-12-08T17:00:00-06:00,CS Herediano,LD Alajuelense,2,0,FT,Apertura - Semi-finals
1318709,2024-12-10T20:00:00-06:00,Deportivo Saprissa,San Carlos,2,0,FT,Apertura - Semi-finals
1318711,2024-12-11T20:00:00-06:00,LD Alajuelense,CS Herediano,2,2,FT,Apertura - Semi-finals
1322475,2024-12-15T17:00:00-06:00,CS Herediano,Deportivo Saprissa,3,0,FT,Apertura - Finals
1322474,2024-12-18T20:00:00-06:00,Deportivo Saprissa,CS Herediano,2,0,FT,Apertura - Finals
1325301,2024-12-22T17:00:00-06:00,CS Herediano,LD Alajuelense,2,0,FT,Apertura - Gran Final
1325302,2024-12-27T18:00:00-06:00,LD Alajuelense,CS Herediano,2,1,FT,Apertura - Gran Final
1319367,2025-01-10T19:00:00-06:00,AD Guanacasteca,Municipal Liberia,1,0,FT,Clausura - 1
1319369,2025-01-11T19:00:00-06:00,San Carlos,Deportivo Saprissa,0,1,FT,Clausura - 1
1319365,2025-01-11T20:00:00-06:00,LD Alajuelense,Santa Ana,6,3,FT,Clausura - 1
1319366,2025-01-12T11:00:00-06:00,CS Cartagines,Santos DE Guapiles,5,0,FT,Clausura - 1
1319370,2025-01-12T15:00:00-06:00,Perez Zeledon,Sporting San Jose,1,1,FT,Clausura - 1
1319368,2025-01-12T15:00:00-06:00,Puntarenas FC,CS Herediano,1,1,FT,Clausura - 1
